from,to,type,value,group
001p,04a,direct,10,2021
002p,01a,direct,10,2022
003p,02a,direct,10,2022
004p,03a,direct,10,2023
005p,05a,direct,10,2022
001p,04a,direct,10,2023
006p,06a,direct,10,2020
007p,07a,direct,10,2021
003p,07a,direct,10,2021
008p,19a,direct,10,2022
002p,09a,direct,10,2023
008p,09a,direct,10,2023
002p,10a,direct,10,2021
009p,07a,direct,10,2020
001p,11a,direct,10,2021
010p,12a,direct,10,2021
005p,06a,direct,10,2021
002p,09a,direct,10,2022
002p,13a,direct,10,2022
002p,14a,direct,10,2022
002p,22a,direct,10,2022
002p,12a,direct,10,2020
002p,15a,direct,10,2020
002p,16a,direct,10,2021
011p,17a,direct,10,2021
002p,15a,direct,10,2021
012p,01a,direct,10,2022
007p,18a,direct,10,2022
013p,15a,direct,10,2022
002p,01a,direct,10,2022
014p,02a,direct,10,2021
002p,16a,direct,10,2021
002p,19a,direct,10,2021
002p,20a,direct,10,2021
007p,09a,direct,10,2022
015p,01a,direct,10,2022
010p,21a,direct,10,2022
002p,09a,direct,10,2022
002p,10a,direct,10,2021
